workload,workload_class,comm_volume_gb,latency_sensitivity,network_config,available_bandwidth_gbps,network_congestion,network_grade,measured_latency_ms,throughput_gbps,run
ResNet-50,compute,0.5,low,InfiniBand-200Gbps,200,0.15,0,2.7796649222622065,183.26741372886408,4
ResNet-50,compute,0.5,low,Ethernet-100Gbps,100,0.35,0,6.100258050673347,64.03457332134815,0
ResNet-50,compute,0.5,low,Ethernet-100Gbps,100,0.35,0,5.904270320623116,58.77972555478051,1
ResNet-50,compute,0.5,low,Ethernet-100Gbps,100,0.35,0,6.503914319498187,72.05244814856829,2
ResNet-50,compute,0.5,low,Ethernet-100Gbps,100,0.35,0,6.227496837006146,70.21837106903853,3
ResNet-50,compute,0.5,low,Ethernet-100Gbps,100,0.35,0,6.363011257827386,61.64537727605336,4
ResNet-50,compute,0.5,low,Ethernet-50Gbps,50,0.5,0,13.918922777203017,28.07607313293194,0
ResNet-50,compute,0.5,low,Ethernet-50Gbps,50,0.5,0,13.647384543577182,28.12928731162801,1
ResNet-50,compute,0.5,low,Ethernet-50Gbps,50,0.5,0,11.881033620251152,26.643805008750448,2
ResNet-50,compute,0.5,low,Ethernet-50Gbps,50,0.5,0,13.731379831803437,24.401985299068265,3
ResNet-50,compute,0.5,low,Ethernet-50Gbps,50,0.5,0,13.734602093334816,21.024862170798215,4
ResNet-101,compute,0.8,low,200Gbps-uncongested,200,0.0,0,3.863345334406736,205.71380114418795,0
ResNet-101,compute,0.8,low,200Gbps-uncongested,200,0.0,0,4.194901180613577,191.70767650762164,1
ResNet-101,compute,0.8,low,200Gbps-uncongested,200,0.0,0,3.748341093184924,191.97188730264742,2
ResNet-101,compute,0.8,low,200Gbps-uncongested,200,0.0,0,4.085039476113686,205.26001775455492,3
ResNet-101,compute,0.8,low,200Gbps-uncongested,200,0.0,0,3.80278121020175,208.21227892981372,4
ResNet-101,compute,0.8,low,200Gbps-light,200,0.2,0,4.553244132274166,172.39865587882096,0
ResNet-101,compute,0.8,low,200Gbps-light,200,0.2,0,4.372191095918413,155.80592452354858,1
ResNet-101,compute,0.8,low,200Gbps-light,200,0.2,0,4.442412996555996,141.26700866390888,2
ResNet-101,compute,0.8,low,200Gbps-light,200,0.2,0,4.598339750272444,163.34150748390257,3
ResNet-101,compute,0.8,low,200Gbps-light,200,0.2,0,4.532408517520558,156.99728469279813,4
ResNet-101,compute,0.8,low,200Gbps-moderate,200,0.4,0,4.791349730565128,115.96180490145255,0
ResNet-101,compute,0.8,low,200Gbps-moderate,200,0.4,0,5.067893913707942,112.29813821547246,1
ResNet-101,compute,0.8,low,200Gbps-moderate,200,0.4,0,5.114668527461108,123.87888822541957,2
ResNet-101,compute,0.8,low,200Gbps-moderate,200,0.4,0,5.642532302655839,121.67594700318566,3
ResNet-101,compute,0.8,low,200Gbps-moderate,200,0.4,0,5.222649710108212,119.28531920864481,4
ResNet-101,compute,0.8,low,200Gbps-heavy,200,0.6,0,5.226605195577621,79.83031119712501,0
ResNet-101,compute,0.8,low,200Gbps-heavy,200,0.6,0,5.798660295061079,95.76474951990583,1
ResNet-101,compute,0.8,low,200Gbps-heavy,200,0.6,0,5.725645658617957,81.92990299093512,2
ResNet-101,compute,0.8,low,200Gbps-heavy,200,0.6,0,5.771216129069578,72.52046055923499,3
ResNet-101,compute,0.8,low,200Gbps-heavy,200,0.6,0,6.111597219820748,84.81237140919535,4
ResNet-101,compute,0.8,low,100Gbps-moderate,100,0.4,0,10.72037584769407,55.63494021698526,0
ResNet-101,compute,0.8,low,100Gbps-moderate,100,0.4,0,11.035815816576426,53.27111489859705,1
ResNet-101,compute,0.8,low,100Gbps-moderate,100,0.4,0,10.615098188990764,70.5141870038879,2
ResNet-101,compute,0.8,low,100Gbps-moderate,100,0.4,0,9.801754707354489,57.281770897906696,3
ResNet-101,compute,0.8,low,100Gbps-moderate,100,0.4,0,10.363882735123315,57.58331686024224,4
ResNet-101,compute,0.8,low,InfiniBand-200Gbps,200,0.15,0,4.035792374454283,170.93245645736198,0
ResNet-101,compute,0.8,low,InfiniBand-200Gbps,200,0.15,0,4.142621062622415,176.44085705663846,1
ResNet-101,compute,0.8,low,InfiniBand-200Gbps,200,0.15,0,4.1738759487613555,191.07910790823854,2
ResNet-101,compute,0.8,low,InfiniBand-200Gbps,200,0.15,0,4.203663342301448,165.6199633796028,3
ResNet-101,compute,0.8,low,InfiniBand-200Gbps,200,0.15,0,4.552956891299615,153.26024529649823,4
ResNet-101,compute,0.8,low,Ethernet-100Gbps,100,0.35,0,10.113729967302065,71.79714232226863,0
ResNet-101,compute,0.8,low,Ethernet-100Gbps,100,0.35,0,9.196258382719387,65.96009606436799,1
ResNet-101,compute,0.8,low,Ethernet-100Gbps,100,0.35,0,10.129941397124211,69.06547893324202,2
ResNet-101,compute,0.8,low,Ethernet-100Gbps,100,0.35,0,9.381524644560958,58.13362561196176,3
ResNet-101,compute,0.8,low,Ethernet-100Gbps,100,0.35,0,10.26097078280845,66.54432030081257,4
ResNet-101,compute,0.8,low,Ethernet-50Gbps,50,0.5,0,22.1489765550658,25.69289641899395,0
ResNet-101,compute,0.8,low,Ethernet-50Gbps,50,0.5,0,21.131222960773524,25.464507394322005,1
ResNet-101,compute,0.8,low,Ethernet-50Gbps,50,0.5,0,22.195548017670436,23.571297163947264,2
ResNet-101,compute,0.8,low,Ethernet-50Gbps,50,0.5,0,23.91569087156458,25.947665841823575,3
ResNet-101,compute,0.8,low,Ethernet-50Gbps,50,0.5,0,20.572011799934604,26.31310721726766,4
ResNet-152,compute,1.2,low,200Gbps-uncongested,200,0.0,0,5.573823729425589,212.59335365987923,0
ResNet-152,compute,1.2,low,200Gbps-uncongested,200,0.0,0,6.198807298537325,186.86908290637263,1
ResNet-152,compute,1.2,low,200Gbps-uncongested,200,0.0,0,6.1416141003645475,206.60449483098398,2
ResNet-152,compute,1.2,low,200Gbps-uncongested,200,0.0,0,6.1002129374983864,230.34868772246315,3
ResNet-152,compute,1.2,low,200Gbps-uncongested,200,0.0,0,5.787483950389784,187.94022137028017,4
ResNet-152,compute,1.2,low,200Gbps-light,200,0.2,0,6.494579080556951,149.55762835244238,0
ResNet-152,compute,1.2,low,200Gbps-light,200,0.2,0,6.770672465941301,164.36674527765305,1
ResNet-152,compute,1.2,low,200Gbps-light,200,0.2,0,6.890906638834812,170.5879455876611,2
ResNet-152,compute,1.2,low,200Gbps-light,200,0.2,0,6.801293611692884,178.60523618761366,3
ResNet-152,compute,1.2,low,200Gbps-light,200,0.2,0,6.7069330293292895,194.81816533234712,4
ResNet-152,compute,1.2,low,200Gbps-moderate,200,0.4,0,7.976332294643497,111.77128745840369,0
ResNet-152,compute,1.2,low,200Gbps-moderate,200,0.4,0,7.320240791765428,124.63173518633457,1
ResNet-152,compute,1.2,low,200Gbps-moderate,200,0.4,0,7.647957750987268,126.85440474328409,2
ResNet-152,compute,1.2,low,200Gbps-moderate,200,0.4,0,7.917384862628051,119.30084243849402,3
ResNet-152,compute,1.2,low,200Gbps-moderate,200,0.4,0,7.406903991840734,105.4574666430157,4
ResNet-152,compute,1.2,low,200Gbps-heavy,200,0.6,0,8.47826890750219,85.48095228367023,0
ResNet-152,compute,1.2,low,200Gbps-heavy,200,0.6,0,8.764704709368955,72.02727181624327,1
ResNet-152,compute,1.2,low,200Gbps-heavy,200,0.6,0,8.746965167068286,82.46603123026455,2
ResNet-152,compute,1.2,low,200Gbps-heavy,200,0.6,0,8.288639939772166,80.9838406780514,3
ResNet-152,compute,1.2,low,200Gbps-heavy,200,0.6,0,8.697113936513695,72.68499009388401,4
ResNet-152,compute,1.2,low,100Gbps-moderate,100,0.4,0,15.745476161519376,62.69176572656753,0
ResNet-152,compute,1.2,low,100Gbps-moderate,100,0.4,0,16.30642244589338,65.05824984976753,1
ResNet-152,compute,1.2,low,100Gbps-moderate,100,0.4,0,14.403208848220688,55.49843980840741,2
ResNet-152,compute,1.2,low,100Gbps-moderate,100,0.4,0,15.867097589481697,62.46617256437861,3
ResNet-152,compute,1.2,low,100Gbps-moderate,100,0.4,0,15.867107194877335,78.49311115514266,4
ResNet-152,compute,1.2,low,InfiniBand-200Gbps,200,0.15,0,6.749823448821196,185.44369270645615,0
ResNet-152,compute,1.2,low,InfiniBand-200Gbps,200,0.15,0,6.875531828646208,178.85892101775883,1
ResNet-152,compute,1.2,low,InfiniBand-200Gbps,200,0.15,0,6.459052279102387,180.32198139870843,2
ResNet-152,compute,1.2,low,InfiniBand-200Gbps,200,0.15,0,6.30891672647986,166.77926694833587,3
ResNet-152,compute,1.2,low,InfiniBand-200Gbps,200,0.15,0,6.4032400858685765,171.113488295654,4
ResNet-152,compute,1.2,low,Ethernet-100Gbps,100,0.35,0,16.735993925005133,55.29022099852291,0
ResNet-152,compute,1.2,low,Ethernet-100Gbps,100,0.35,0,15.514695142780884,56.613877469813815,1
ResNet-152,compute,1.2,low,Ethernet-100Gbps,100,0.35,0,14.646051100657925,70.66254310423031,2
ResNet-152,compute,1.2,low,Ethernet-100Gbps,100,0.35,0,15.048210014321597,59.39572715476761,3
ResNet-152,compute,1.2,low,Ethernet-100Gbps,100,0.35,0,14.463522218055024,68.53390829446032,4
ResNet-152,compute,1.2,low,Ethernet-50Gbps,50,0.5,0,31.614242244839073,25.43291717916395,0
ResNet-152,compute,1.2,low,Ethernet-50Gbps,50,0.5,0,32.887266299842196,23.696799304788367,1
ResNet-152,compute,1.2,low,Ethernet-50Gbps,50,0.5,0,36.329908271549364,26.267838044636022,2
ResNet-152,compute,1.2,low,Ethernet-50Gbps,50,0.5,0,29.490000443764863,25.372908629538856,3
ResNet-152,compute,1.2,low,Ethernet-50Gbps,50,0.5,0,31.726756581239364,26.704866669592448,4
VGG-16,compute,0.6,low,200Gbps-uncongested,200,0.0,0,2.8135955949561473,198.1642169365296,0
VGG-16,compute,0.6,low,200Gbps-uncongested,200,0.0,0,3.0036602459444026,213.85208310672192,1
VGG-16,compute,0.6,low,200Gbps-uncongested,200,0.0,0,2.753862830997689,194.64798022654483,2
VGG-16,compute,0.6,low,200Gbps-uncongested,200,0.0,0,2.8601154329354066,189.54673227882063,3
VGG-16,compute,0.6,low,200Gbps-uncongested,200,0.0,0,3.1882989609786767,206.47970737537528,4
VGG-16,compute,0.6,low,200Gbps-light,200,0.2,0,3.184185734321975,171.74863292230114,0
VGG-16,compute,0.6,low,200Gbps-light,200,0.2,0,3.7590382600392562,173.21555533505466,1
VGG-16,compute,0.6,low,200Gbps-light,200,0.2,0,3.1402633065664083,153.80180386731197,2
VGG-16,compute,0.6,low,200Gbps-light,200,0.2,0,3.6137134179281962,150.9418308400796,3
VGG-16,compute,0.6,low,200Gbps-light,200,0.2,0,3.4738521293920352,169.91531588389552,4
VGG-16,compute,0.6,low,200Gbps-moderate,200,0.4,0,3.6879568033472068,119.42855658180672,0
VGG-16,compute,0.6,low,200Gbps-moderate,200,0.4,0,3.240458072916332,110.16587864319081,1
VGG-16,compute,0.6,low,200Gbps-moderate,200,0.4,0,3.818351080101713,108.02128145313745,2
VGG-16,compute,0.6,low,200Gbps-moderate,200,0.4,0,4.182829529471156,106.27064277157793,3
VGG-16,compute,0.6,low,200Gbps-moderate,200,0.4,0,3.7821007730800753,121.2551095419465,4
VGG-16,compute,0.6,low,200Gbps-heavy,200,0.6,0,4.648401045090505,70.81048223245159,0
VGG-16,compute,0.6,low,200Gbps-heavy,200,0.6,0,4.588107766580469,80.06549159052537,1
VGG-16,compute,0.6,low,200Gbps-heavy,200,0.6,0,4.123149491667339,82.95746223528494,2
VGG-16,compute,0.6,low,200Gbps-heavy,200,0.6,0,4.37909301993878,76.15861198618371,3
VGG-16,compute,0.6,low,200Gbps-heavy,200,0.6,0,4.351070373894321,77.53399298008473,4
VGG-16,compute,0.6,low,100Gbps-moderate,100,0.4,0,7.77827428585888,63.17822723770102,0
VGG-16,compute,0.6,low,100Gbps-moderate,100,0.4,0,8.347717440618709,54.05848560563112,1
VGG-16,compute,0.6,low,100Gbps-moderate,100,0.4,0,8.559259000355354,50.62997856229199,2
VGG-16,compute,0.6,low,100Gbps-moderate,100,0.4,0,7.675676857779208,62.823922591125964,3
VGG-16,compute,0.6,low,100Gbps-moderate,100,0.4,0,7.843039823850658,57.01104230486115,4
VGG-16,compute,0.6,low,InfiniBand-200Gbps,200,0.15,0,3.24710494330076,163.29518728863988,0
VGG-16,compute,0.6,low,InfiniBand-200Gbps,200,0.15,0,3.1845573445638404,181.55458851948592,1
VGG-16,compute,0.6,low,InfiniBand-200Gbps,200,0.15,0,3.3398228531661407,160.5764295044551,2
VGG-16,compute,0.6,low,InfiniBand-200Gbps,200,0.15,0,3.4288406045632684,174.17927348392186,3
VGG-16,compute,0.6,low,InfiniBand-200Gbps,200,0.15,0,3.4146101913720175,178.56295225016115,4
VGG-16,compute,0.6,low,Ethernet-100Gbps,100,0.35,0,7.189126870904222,62.08705859097576,0
VGG-16,compute,0.6,low,Ethernet-100Gbps,100,0.35,0,7.780235101921224,68.17392538025402,1
VGG-16,compute,0.6,low,Ethernet-100Gbps,100,0.35,0,7.492161902263444,65.61010239320566,2
VGG-16,compute,0.6,low,Ethernet-100Gbps,100,0.35,0,7.97912433592066,61.92382877805369,3
VGG-16,compute,0.6,low,Ethernet-100Gbps,100,0.35,0,7.705161517938764,63.94859820734375,4
VGG-16,compute,0.6,low,Ethernet-50Gbps,50,0.5,0,16.22768338797767,27.197553703974382,0
VGG-16,compute,0.6,low,Ethernet-50Gbps,50,0.5,0,17.083349348779244,26.627019272001277,1
VGG-16,compute,0.6,low,Ethernet-50Gbps,50,0.5,0,17.477150583993787,25.042007683265517,2
VGG-16,compute,0.6,low,Ethernet-50Gbps,50,0.5,0,16.9656645467654,24.379466486813087,3
VGG-16,compute,0.6,low,Ethernet-50Gbps,50,0.5,0,16.672167711025676,24.739713891264632,4
MobileNet-v3,compute,0.3,low,200Gbps-uncongested,200,0.0,0,1.47194794665474,209.52251240699061,0
MobileNet-v3,compute,0.3,low,200Gbps-uncongested,200,0.0,0,1.4049154773022359,233.47819641096734,1
MobileNet-v3,compute,0.3,low,200Gbps-uncongested,200,0.0,0,1.3911608363159398,180.5729821953963,2
MobileNet-v3,compute,0.3,low,200Gbps-uncongested,200,0.0,0,1.5496663237426807,212.66660310340697,3
MobileNet-v3,compute,0.3,low,200Gbps-uncongested,200,0.0,0,1.5105556506629996,210.05352814822848,4
MobileNet-v3,compute,0.3,low,200Gbps-light,200,0.2,0,1.6981782526975768,148.51514404498135,0
MobileNet-v3,compute,0.3,low,200Gbps-light,200,0.2,0,1.7056591763309128,151.33233009264498,1
MobileNet-v3,compute,0.3,low,200Gbps-light,200,0.2,0,1.7820658367259223,158.11766551677263,2
MobileNet-v3,compute,0.3,low,200Gbps-light,200,0.2,0,1.6290837342568865,155.88626122684167,3
MobileNet-v3,compute,0.3,low,200Gbps-light,200,0.2,0,1.7343017934784957,152.78432572410912,4
MobileNet-v3,compute,0.3,low,200Gbps-moderate,200,0.4,0,1.854101739100511,122.33939723032238,0
MobileNet-v3,compute,0.3,low,200Gbps-moderate,200,0.4,0,1.957277041542738,115.13334551643715,1
MobileNet-v3,compute,0.3,low,200Gbps-moderate,200,0.4,0,1.888053913812291,122.22767939863331,2
MobileNet-v3,compute,0.3,low,200Gbps-moderate,200,0.4,0,1.7935934083903955,106.48834776598507,3
MobileNet-v3,compute,0.3,low,200Gbps-moderate,200,0.4,0,1.8641347872031335,117.95090734356627,4
MobileNet-v3,compute,0.3,low,200Gbps-heavy,200,0.6,0,2.2016706443177525,89.44227978847714,0
MobileNet-v3,compute,0.3,low,200Gbps-heavy,200,0.6,0,2.2609377130619377,78.97639340823406,1
MobileNet-v3,compute,0.3,low,200Gbps-heavy,200,0.6,0,2.1659074227761734,73.58381206631802,2
MobileNet-v3,compute,0.3,low,200Gbps-heavy,200,0.6,0,2.1659619549852,78.15258471091111,3
MobileNet-v3,compute,0.3,low,200Gbps-heavy,200,0.6,0,2.2029509376928984,74.70572196126513,4
MobileNet-v3,compute,0.3,low,100Gbps-moderate,100,0.4,0,3.9676080174021013,67.35714678241237,0
MobileNet-v3,compute,0.3,low,100Gbps-moderate,100,0.4,0,3.846157705669475,61.92821626607491,1
MobileNet-v3,compute,0.3,low,100Gbps-moderate,100,0.4,0,4.000633310897266,58.074141734947986,2
MobileNet-v3,compute,0.3,low,100Gbps-moderate,100,0.4,0,3.910517882225061,60.06044352375261,3
MobileNet-v3,compute,0.3,low,100Gbps-moderate,100,0.4,0,3.8860740893678405,56.28955303749376,4
MobileNet-v3,compute,0.3,low,InfiniBand-200Gbps,200,0.15,0,1.6426356002321791,176.77277676093811,0
MobileNet-v3,compute,0.3,low,InfiniBand-200Gbps,200,0.15,0,1.759664124076937,183.0460832347588,1
MobileNet-v3,compute,0.3,low,InfiniBand-200Gbps,200,0.15,0,1.8172532484677453,159.56407314472253,2
MobileNet-v3,compute,0.3,low,InfiniBand-200Gbps,200,0.15,0,1.7121825522309935,172.4934512780416,3
MobileNet-v3,compute,0.3,low,InfiniBand-200Gbps,200,0.15,0,1.8202572718655123,159.00714331916996,4
MobileNet-v3,compute,0.3,low,Ethernet-100Gbps,100,0.35,0,3.5925521545911043,61.883158243691085,0
MobileNet-v3,compute,0.3,low,Ethernet-100Gbps,100,0.35,0,3.351769551691911,62.26607388726004,1
MobileNet-v3,compute,0.3,low,Ethernet-100Gbps,100,0.35,0,3.6076626259586817,65.78204768967628,2
MobileNet-v3,compute,0.3,low,Ethernet-100Gbps,100,0.35,0,3.8140792454582177,74.7560883639226,3
MobileNet-v3,compute,0.3,low,Ethernet-100Gbps,100,0.35,0,3.928204469659885,62.0001009905555,4
MobileNet-v3,compute,0.3,low,Ethernet-50Gbps,50,0.5,0,7.834634607454775,25.983838343013012,0
MobileNet-v3,compute,0.3,low,Ethernet-50Gbps,50,0.5,0,7.66162309868294,28.662917531708707,1
MobileNet-v3,compute,0.3,low,Ethernet-50Gbps,50,0.5,0,8.686879737014591,24.06164869579059,2
MobileNet-v3,compute,0.3,low,Ethernet-50Gbps,50,0.5,0,7.500472165802569,27.707744748330825,3
MobileNet-v3,compute,0.3,low,Ethernet-50Gbps,50,0.5,0,8.156145766595607,27.47563262394692,4
EfficientNet-B4,compute,0.7,low,200Gbps-uncongested,200,0.0,0,3.1454835544052595,190.40999963273964,0
EfficientNet-B4,compute,0.7,low,200Gbps-uncongested,200,0.0,0,3.4188648900885568,200.75168950023587,1
EfficientNet-B4,compute,0.7,low,200Gbps-uncongested,200,0.0,0,3.3410532641514963,209.96559891756,2
EfficientNet-B4,compute,0.7,low,200Gbps-uncongested,200,0.0,0,3.2355140867754355,197.7219282396593,3
EfficientNet-B4,compute,0.7,low,200Gbps-uncongested,200,0.0,0,3.438527085497639,208.23102134494002,4
EfficientNet-B4,compute,0.7,low,200Gbps-light,200,0.2,0,4.105915840089888,145.60458122447528,0
EfficientNet-B4,compute,0.7,low,200Gbps-light,200,0.2,0,3.660717600918622,176.35426332030093,1
EfficientNet-B4,compute,0.7,low,200Gbps-light,200,0.2,0,4.030722406671735,150.41937233207614,2
EfficientNet-B4,compute,0.7,low,200Gbps-light,200,0.2,0,4.272347510772532,161.4806353189486,3
EfficientNet-B4,compute,0.7,low,200Gbps-light,200,0.2,0,4.198630203481404,160.8642365620494,4
EfficientNet-B4,compute,0.7,low,200Gbps-moderate,200,0.4,0,4.976594502585683,136.85127208745476,0
EfficientNet-B4,compute,0.7,low,200Gbps-moderate,200,0.4,0,4.455555939161459,129.32708112916183,1
EfficientNet-B4,compute,0.7,low,200Gbps-moderate,200,0.4,0,4.6573064886271185,133.13886295231055,2
EfficientNet-B4,compute,0.7,low,200Gbps-moderate,200,0.4,0,4.294045586529292,126.586094015985,3
EfficientNet-B4,compute,0.7,low,200Gbps-moderate,200,0.4,0,4.750484430138921,103.1161009303381,4
EfficientNet-B4,compute,0.7,low,200Gbps-heavy,200,0.6,0,4.759312544159731,66.94891406233536,0
EfficientNet-B4,compute,0.7,low,200Gbps-heavy,200,0.6,0,4.9904527635535745,84.59227043709416,1
EfficientNet-B4,compute,0.7,low,200Gbps-heavy,200,0.6,0,5.438584449700069,80.47420659468656,2
EfficientNet-B4,compute,0.7,low,200Gbps-heavy,200,0.6,0,5.470518970998988,71.1673506674247,3
EfficientNet-B4,compute,0.7,low,200Gbps-heavy,200,0.6,0,4.627757761920913,79.64449472706164,4
EfficientNet-B4,compute,0.7,low,100Gbps-moderate,100,0.4,0,9.196717028720663,59.84306520914835,0
EfficientNet-B4,compute,0.7,low,100Gbps-moderate,100,0.4,0,8.090665771271071,59.57222381033861,1
EfficientNet-B4,compute,0.7,low,100Gbps-moderate,100,0.4,0,8.434897549576913,63.21442823438419,2
EfficientNet-B4,compute,0.7,low,100Gbps-moderate,100,0.4,0,9.188836318063226,55.48857702562869,3
EfficientNet-B4,compute,0.7,low,100Gbps-moderate,100,0.4,0,8.791595199404734,54.91577509493303,4
EfficientNet-B4,compute,0.7,low,InfiniBand-200Gbps,200,0.15,0,3.816127829037557,182.98993555881682,0
EfficientNet-B4,compute,0.7,low,InfiniBand-200Gbps,200,0.15,0,3.639450873943588,176.8550326110427,1
EfficientNet-B4,compute,0.7,low,InfiniBand-200Gbps,200,0.15,0,3.7266303777334007,159.2169294812321,2
EfficientNet-B4,compute,0.7,low,InfiniBand-200Gbps,200,0.15,0,3.8076387201649484,155.9207044150965,3
EfficientNet-B4,compute,0.7,low,InfiniBand-200Gbps,200,0.15,0,3.7221530626483914,153.70886066079166,4
EfficientNet-B4,compute,0.7,low,Ethernet-100Gbps,100,0.35,0,9.60956724565092,65.183370470253,0
EfficientNet-B4,compute,0.7,low,Ethernet-100Gbps,100,0.35,0,8.443870090253244,66.11269553581795,1
EfficientNet-B4,compute,0.7,low,Ethernet-100Gbps,100,0.35,0,8.700856478260263,63.85095808242724,2
EfficientNet-B4,compute,0.7,low,Ethernet-100Gbps,100,0.35,0,9.018697931269,68.93904009224599,3
EfficientNet-B4,compute,0.7,low,Ethernet-100Gbps,100,0.35,0,8.517905747920395,62.00574514864767,4
EfficientNet-B4,compute,0.7,low,Ethernet-50Gbps,50,0.5,0,18.87739193046034,20.39615767052883,0
EfficientNet-B4,compute,0.7,low,Ethernet-50Gbps,50,0.5,0,17.69053980375529,27.733748534889045,1
EfficientNet-B4,compute,0.7,low,Ethernet-50Gbps,50,0.5,0,20.714910507061777,24.501927920887244,2
EfficientNet-B4,compute,0.7,low,Ethernet-50Gbps,50,0.5,0,19.692408031049464,25.62250030908707,3
EfficientNet-B4,compute,0.7,low,Ethernet-50Gbps,50,0.5,0,22.087210148716927,27.23914982286915,4
DenseNet-121,compute,0.9,low,200Gbps-uncongested,200,0.0,0,4.366424357340652,184.71135295039318,0
DenseNet-121,compute,0.9,low,200Gbps-uncongested,200,0.0,0,4.0415523222090295,203.25541817387557,1
DenseNet-121,compute,0.9,low,200Gbps-uncongested,200,0.0,0,4.228340900694366,177.2439406464372,2
DenseNet-121,compute,0.9,low,200Gbps-uncongested,200,0.0,0,4.252462012739679,182.69523194216967,3
DenseNet-121,compute,0.9,low,200Gbps-uncongested,200,0.0,0,4.765241081925124,214.1062361111912,4
DenseNet-121,compute,0.9,low,200Gbps-light,200,0.2,0,5.095624160758168,178.94328497779236,0
DenseNet-121,compute,0.9,low,200Gbps-light,200,0.2,0,5.117376101851591,148.97556222299824,1
DenseNet-121,compute,0.9,low,200Gbps-light,200,0.2,0,5.485874398600958,166.89804855916364,2
DenseNet-121,compute,0.9,low,200Gbps-light,200,0.2,0,4.833280032930465,157.56366492052982,3
DenseNet-121,compute,0.9,low,200Gbps-light,200,0.2,0,4.874476206900956,142.3001634436565,4
DenseNet-121,compute,0.9,low,200Gbps-moderate,200,0.4,0,6.069408917594626,138.33039974851323,0
DenseNet-121,compute,0.9,low,200Gbps-moderate,200,0.4,0,5.395142022046597,125.40450467222949,1
DenseNet-121,compute,0.9,low,200Gbps-moderate,200,0.4,0,5.612069489229314,115.32359631585892,2
DenseNet-121,compute,0.9,low,200Gbps-moderate,200,0.4,0,5.628963871583062,111.70568861107377,3
DenseNet-121,compute,0.9,low,200Gbps-moderate,200,0.4,0,5.814854417480092,112.02287888245404,4
DenseNet-121,compute,0.9,low,200Gbps-heavy,200,0.6,0,6.591857541977232,79.67847609952553,0
DenseNet-121,compute,0.9,low,200Gbps-heavy,200,0.6,0,6.426201465228013,74.19159256293378,1
DenseNet-121,compute,0.9,low,200Gbps-heavy,200,0.6,0,6.31634291691479,84.83450384528483,2
